,1,2,3,4,5,6,7,8,9,10
mean_test_score,-0.14977258366840437,-0.15131705613219634,-0.1534325341520479,-0.15952940758584103,-0.16286776225839644,-0.16294988071586655,-0.1637597973878343,-0.17014274532423762,-0.174130368179812,-0.17567124913382598
param_xgbregressor__learning_rate,0.25000000000000006,0.3500000000000001,0.7000000000000002,0.8000000000000002,0.8500000000000002,0.7000000000000002,0.6500000000000001,0.9000000000000002,0.9500000000000003,0.9000000000000002
param_xgbregressor__max_depth,7,6,6,9,9,14,14,10,18,18
param_xgbregressor__max_leaves,550,700,800,450,700,300,400,350,950,800
param_xgbregressor__n_estimators,300,600,450,200,550,800,850,650,1000,250
param_xgbregressor__lambda,34.5,8.5,60.0,29.0,80.0,84.5,36.5,15.5,21.0,11.5
mean_fit_time,57.86868858337402,90.00326309204101,72.5984956741333,52.577359437942505,123.84754872322083,248.4997326374054,217.60491371154785,148.04748244285582,102.18712692260742,78.90068883895874
