,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
mean_test_score,-0.14951185886571927,-0.1496254983918474,-0.14964771614480257,-0.14964903857579864,-0.14965738932816425,-0.14969657841816594,-0.14969690788254186,-0.14970887742080133,-0.14974604528364668,-0.1498019698118381,-0.14980330798665675,-0.1498097844887633,-0.14982175856015087,-0.14982299206832608,-0.14982410509575103,-0.14982816474497226,-0.1498314254119808,-0.14983450725816316,-0.1498354785215305,-0.1498516496913486,-0.14986835052867625,-0.1498693596367369,-0.14987050482046788,-0.1498818879604892,-0.1498823113352627,-0.14989846690031103,-0.14990614925678494,-0.14990817978105447,-0.14993296683733812,-0.14993542544656885,-0.14994769756440568,-0.14998751959418122,-0.1499902237634876,-0.14999703816327709,-0.14999724383173,-0.1500128272038722,-0.1500374261540966,-0.15003859091437888,-0.15004747695197457,-0.15005972465229026,-0.15007509063882224,-0.1500890402035237,-0.15010882697641176,-0.1501103435381997,-0.15011643346924583,-0.15013579987329065,-0.15014550878904223,-0.15015854080566748,-0.1501752251401922,-0.15019603572645945,-0.150205281144755,-0.1502145517212755,-0.15022686385101883,-0.15025404996725653,-0.1502826782629519,-0.15036161416232557,-0.1504139165120691,-0.15043421651110916,-0.15044056654831367,-0.15044108019957256,-0.1504480449486865,-0.15046003196514685,-0.15055960173849123,-0.15057505820118117,-0.1505898847920072,-0.15060810230202998,-0.15061091306272603,-0.15061995199382663,-0.15067082494276757,-0.1506750787135523,-0.15069303104677814,-0.1507070893808613,-0.1507276725756581,-0.15078692779036212,-0.15079158399037512,-0.15079970790061709,-0.15087369515413462,-0.1508801857812484,-0.1508863264640595,-0.15090390319493655,-0.1509071062004618,-0.15090711091554157,-0.15100269348441037,-0.15101280875645,-0.15101785179190189,-0.1510336804763583,-0.15113080730196538,-0.1511386085902204,-0.15115229349983514,-0.15125706977951872,-0.15136961786611955,-0.15143917446659577,-0.1514579240737291,-0.15146192758335486,-0.15147612299855684,-0.15150274618361131,-0.1515692694729756,-0.1515891025003397,-0.15159188347921393,-0.15168261930026566,-0.1517499643064925,-0.15178386661673576,-0.15180958140407466,-0.15181656775826008,-0.15184451016235395,-0.15194419709488438,-0.15195233651457185,-0.15196522528517667,-0.15199186348521412,-0.15199331791883205,-0.15208803934087384,-0.15211968053840108,-0.15215171305047342,-0.1522825753933344,-0.1522881252118715,-0.15237189613532626,-0.1524427735701302,-0.15244846607270612,-0.15249839048785768,-0.15256647561805076,-0.1527036014835459,-0.15271089888316342,-0.1528196593182517,-0.1528343181511553,-0.15301476982739629,-0.15314589865808634,-0.15339639035509173,-0.15342681333846597,-0.15352345328308686,-0.15366034004702264,-0.15370401107447984,-0.15373489182184438,-0.153772481156688,-0.15395340657966006,-0.15411651074199012,-0.15416094046543968,-0.15418035984361908,-0.15418390639676433,-0.15421162433169716,-0.15423650886985418,-0.15425161644254956,-0.15427588382975183,-0.1543182144464308,-0.1543223799489522,-0.15444874054889618,-0.15467642516484525,-0.1547534322261881,-0.1548424961092894,-0.15510076167476722,-0.15512478161508697,-0.15517417318245383,-0.15542081125812066,-0.15544980186737273,-0.1555231485139229,-0.15553560286328502,-0.15554611782050012,-0.15560759288662038,-0.15567456658658577,-0.1559400658174894,-0.1560396932069054,-0.15618470937693307,-0.15628376521433554,-0.15636117241221892,-0.1564774772579009,-0.15673160992840246,-0.1568087376411053,-0.15694591189817425,-0.15742480525376232,-0.15756929033120645,-0.15781747962885193,-0.15783707403086772,-0.15787536636710436,-0.1579558695370888,-0.15803161452264353,-0.15817464830714684,-0.15828666390217278,-0.15830675961565133,-0.15849471451134706,-0.1585792509988904,-0.1586072099677162,-0.15864386630698918,-0.15876753822854645,-0.15900846357161819,-0.1591851061152476,-0.1595783897565454,-0.15959820477136286,-0.15985272019632957,-0.1600411477901768,-0.1601023696028688,-0.16032321840858182,-0.1604740364359504,-0.16057350624262764,-0.1611558247957699,-0.16148568010973463,-0.16164518678012726,-0.16187706891655868,-0.16191227018156867,-0.1619486655769762,-0.16259771051115499,-0.16329741896545436
param_xgbregressor__learning_rate,0.1,0.1,0.1,0.20000000000000004,0.1,0.1,0.15000000000000002,0.15000000000000002,0.20000000000000004,0.1,0.1,0.15000000000000002,0.15000000000000002,0.25000000000000006,0.25000000000000006,0.20000000000000004,0.3500000000000001,0.15000000000000002,0.25000000000000006,0.20000000000000004,0.3500000000000001,0.15000000000000002,0.1,0.1,0.1,0.45000000000000007,0.25000000000000006,0.40000000000000013,0.3500000000000001,0.30000000000000004,0.30000000000000004,0.1,0.45000000000000007,0.1,0.3500000000000001,0.1,0.1,0.5000000000000001,0.25000000000000006,0.15000000000000002,0.1,0.15000000000000002,0.1,0.30000000000000004,0.1,0.30000000000000004,0.20000000000000004,0.1,0.5000000000000001,0.15000000000000002,0.1,0.20000000000000004,0.15000000000000002,0.15000000000000002,0.45000000000000007,0.15000000000000002,0.30000000000000004,0.1,0.1,0.5000000000000001,0.20000000000000004,0.1,0.20000000000000004,0.3500000000000001,0.3500000000000001,0.25000000000000006,0.25000000000000006,0.5500000000000002,0.3500000000000001,0.1,0.40000000000000013,0.3500000000000001,0.20000000000000004,0.3500000000000001,0.25000000000000006,0.25000000000000006,0.25000000000000006,0.5000000000000001,0.20000000000000004,0.15000000000000002,0.3500000000000001,0.25000000000000006,0.45000000000000007,0.40000000000000013,0.1,0.40000000000000013,0.40000000000000013,0.3500000000000001,0.45000000000000007,0.3500000000000001,0.5500000000000002,0.25000000000000006,0.5500000000000002,0.40000000000000013,0.25000000000000006,0.30000000000000004,0.30000000000000004,0.25000000000000006,0.25000000000000006,0.30000000000000004,0.40000000000000013,0.40000000000000013,0.30000000000000004,0.5500000000000002,0.40000000000000013,0.1,0.40000000000000013,0.3500000000000001,0.20000000000000004,0.45000000000000007,0.5000000000000001,0.3500000000000001,0.15000000000000002,0.40000000000000013,0.40000000000000013,0.5000000000000001,0.5500000000000002,0.25000000000000006,0.1,0.15000000000000002,0.20000000000000004,0.30000000000000004,0.20000000000000004,0.20000000000000004,0.3500000000000001,0.25000000000000006,0.45000000000000007,0.3500000000000001,0.40000000000000013,0.20000000000000004,0.20000000000000004,0.3500000000000001,0.40000000000000013,0.3500000000000001,0.40000000000000013,0.15000000000000002,0.45000000000000007,0.5500000000000002,0.45000000000000007,0.45000000000000007,0.25000000000000006,0.5500000000000002,0.5000000000000001,0.45000000000000007,0.25000000000000006,0.45000000000000007,0.45000000000000007,0.5500000000000002,0.45000000000000007,0.5500000000000002,0.5000000000000001,0.5000000000000001,0.30000000000000004,0.40000000000000013,0.5000000000000001,0.5500000000000002,0.5500000000000002,0.25000000000000006,0.3500000000000001,0.5000000000000001,0.45000000000000007,0.20000000000000004,0.5500000000000002,0.40000000000000013,0.5500000000000002,0.5000000000000001,0.5000000000000001,0.5500000000000002,0.5000000000000001,0.45000000000000007,0.45000000000000007,0.5500000000000002,0.45000000000000007,0.3500000000000001,0.45000000000000007,0.30000000000000004,0.5000000000000001,0.5000000000000001,0.40000000000000013,0.5000000000000001,0.5500000000000002,0.5500000000000002,0.45000000000000007,0.5000000000000001,0.3500000000000001,0.40000000000000013,0.40000000000000013,0.5000000000000001,0.40000000000000013,0.25000000000000006,0.40000000000000013,0.5500000000000002,0.5000000000000001,0.5000000000000001,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5000000000000001,0.5500000000000002
param_xgbregressor__max_depth,5,5,5,5,5,4,5,4,6,7,6,4,4,4,4,5,5,5,5,4,4,5,7,6,4,5,4,5,4,4,4,6,4,5,6,6,6,4,4,8,5,5,8,7,6,4,7,6,4,6,6,7,7,7,5,7,5,7,4,6,5,7,5,4,4,9,7,5,4,9,4,4,4,5,5,5,7,4,6,8,6,5,4,4,5,4,7,4,5,6,8,6,6,6,6,7,5,6,8,5,5,5,5,5,5,5,5,5,7,6,4,9,8,5,6,6,4,6,9,8,6,6,9,7,5,7,5,9,7,9,9,7,7,7,7,8,6,5,7,7,6,7,7,9,6,8,8,5,9,7,5,6,7,6,8,8,6,8,7,7,6,9,7,7,7,8,6,8,7,7,7,9,7,8,7,9,7,9,9,9,9,8,9,7,9,9,9,8,8,9,8,7,8,7,7,9,8,8,9,9
param_xgbregressor__max_leaves,400,300,400,350,850,650,700,300,900,1250,1300,750,800,1350,900,550,950,600,950,350,1000,400,850,1150,1250,450,600,1500,900,600,650,1300,300,450,400,400,1400,650,1250,850,1150,900,800,700,1000,750,950,1450,1100,600,750,350,1450,1450,1100,850,800,1300,1150,800,1250,1400,1400,350,1350,900,600,1350,750,1350,1250,700,700,1250,450,800,1300,400,1350,1350,1050,1000,1300,750,750,1250,550,950,1300,450,450,700,600,1000,1050,1050,1150,1350,1200,1150,400,1350,300,450,1350,1100,600,850,1150,300,400,500,700,950,1400,1200,400,1050,1300,950,650,900,350,1100,1250,1350,1250,650,1200,400,800,300,300,1350,1300,600,850,800,900,800,800,700,1000,450,400,450,1500,650,1350,950,1100,950,1000,1500,800,1300,1100,1250,450,950,900,350,1350,1300,1450,400,500,300,850,1000,1450,950,950,1500,700,300,850,300,800,950,600,1250,1000,1400,1000,900,1250,700,1000,750,1400,1400,350,650,1050,1100,550,500,750,1300
param_xgbregressor__n_estimators,950,700,1500,500,1500,1500,450,1300,350,350,850,700,1200,1000,400,300,350,1050,300,1400,450,1200,500,800,900,200,400,200,650,650,750,800,400,450,150,300,1250,400,1000,200,400,1500,250,100,1350,450,200,850,400,1050,250,450,700,750,350,750,750,1300,500,150,150,1150,1300,150,1100,100,450,250,1250,700,650,1300,200,700,1250,1050,500,850,1100,500,500,1000,1050,850,200,1150,250,1500,650,600,100,1000,300,550,1050,450,1200,1050,500,1000,800,950,1150,500,1050,150,750,1050,1100,450,1200,200,1200,950,750,500,1250,1400,1400,1350,1500,1200,550,1200,1400,1050,1100,350,550,900,900,550,650,800,500,1400,850,1150,650,500,1400,250,500,300,1500,500,350,1350,250,500,1500,600,1300,1500,450,400,950,1400,1400,400,900,1300,750,1000,750,550,1400,550,900,1250,1300,450,1050,1500,1000,1250,1000,750,750,450,400,700,650,1350,1100,1050,950,1150,1300,1300,1350,1450,1500,1500,1250,650,1050,1450,1400,1400
param_xgbregressor__lambda,89.0,73.0,57.0,95.5,96.0,17.0,45.0,50.5,62.5,90.5,22.0,22.5,21.0,90.0,87.5,41.0,56.5,40.0,33.5,75.0,39.5,55.0,32.0,12.5,31.5,57.0,11.0,70.5,78.0,44.5,37.5,7.5,82.0,47.0,35.0,61.0,37.5,95.0,17.0,31.5,28.5,98.0,21.0,71.5,53.5,2.0,14.0,2.5,43.0,97.0,58.0,93.5,92.5,99.5,64.0,69.5,74.0,94.5,69.5,37.5,99.5,48.5,44.0,10.0,48.5,18.5,98.0,46.0,82.0,97.5,6.5,68.5,57.0,38.5,81.0,21.5,73.5,66.0,84.0,14.5,86.0,23.5,68.0,5.0,60.0,49.0,58.5,61.0,98.0,83.5,99.5,67.0,99.0,86.5,90.5,55.5,53.5,76.0,83.5,10.5,26.0,79.5,21.5,33.0,88.5,69.5,12.0,19.5,88.5,43.5,20.5,36.5,98.5,18.0,98.5,98.0,57.0,63.5,48.5,87.0,7.0,95.0,28.0,42.0,14.0,56.0,22.5,60.5,44.0,79.5,68.0,11.0,62.0,51.5,9.0,14.5,52.5,96.5,80.0,35.5,1.0,3.5,66.0,68.5,3.0,96.5,24.5,83.5,23.5,87.0,49.5,2.0,35.5,85.5,71.0,69.5,77.0,59.0,91.5,3.5,2.5,23.5,99.0,29.5,94.0,52.5,78.0,59.5,48.0,82.5,81.0,69.5,29.5,87.0,14.5,30.5,40.5,99.5,27.5,23.5,35.0,58.0,35.0,73.5,18.5,45.5,29.5,78.0,26.0,0.5,18.5,99.5,73.5,22.0,22.0,20.0,39.5,87.5,50.0,56.5
mean_fit_time,8.720732164382934,6.310757732391357,13.184391021728516,4.256974887847901,13.11607060432434,11.734303331375122,3.8176853179931642,10.575027561187744,3.1947773933410644,4.037858963012695,8.019255685806275,5.814193820953369,9.479764223098755,8.2570405960083,3.289767932891846,2.7575138092041014,3.3858655452728272,9.283512592315674,2.827001762390137,11.431737899780273,3.331212282180786,10.554521322250366,5.55207462310791,8.028821325302124,7.682047986984253,1.7970592021942138,3.365406847000122,2.025579595565796,5.2332641124725345,5.127969074249267,6.030377674102783,7.49370813369751,3.2794864177703857,4.090781116485596,1.5359973907470703,3.1706278324127197,11.138823843002319,3.445966339111328,7.9417280673980715,2.7340353965759276,3.6997593879699706,12.400342512130738,3.5451653957366944,1.23146653175354,12.289010524749756,3.940276527404785,2.379644584655762,7.861180400848388,3.3636961460113524,9.644012641906738,2.8429794311523438,4.7630486488342285,7.013689947128296,7.313575029373169,3.1827696800231933,7.71900954246521,6.725627422332764,14.042859268188476,3.891445350646973,1.6292517185211182,1.701150894165039,12.385379076004028,11.42365050315857,1.4558184146881104,8.541903877258301,1.7849091053009034,4.786118888854981,2.4265142917633056,10.00059895515442,8.942605257034302,5.546049880981445,10.288540029525757,2.03151273727417,6.403543472290039,10.751584672927857,8.998305320739746,5.314927005767823,7.118459892272949,10.449806404113769,6.035484647750854,4.956922769546509,8.522140789031983,8.262929725646973,6.598691320419311,2.22473349571228,9.323773717880249,2.763426494598389,11.772659254074096,5.445186376571655,5.939897060394287,1.4149491310119628,9.264883708953857,2.9564462661743165,4.915606212615967,9.572829484939575,4.917142295837403,10.159753465652466,9.687321519851684,5.806336355209351,8.330151081085205,7.228647708892822,8.486233758926392,9.65879259109497,4.345172977447509,9.038883304595947,1.7340304851531982,6.4672098636627195,9.360528612136841,11.641520404815674,4.087901973724366,9.584263134002686,2.980244493484497,14.133376169204713,8.129514789581298,6.862383413314819,4.489864253997803,9.774072265625,12.872531270980835,19.237157535552978,15.783963537216186,13.159053373336793,10.857948827743531,7.8806483268737795,12.145973253250123,12.31386752128601,10.436242532730102,9.328373050689697,5.263768196105957,5.930718326568604,12.343433237075805,12.33396520614624,5.878824138641358,6.793716335296631,8.110464191436767,5.468684101104737,16.870418071746826,8.118340873718262,9.621626663208009,6.582065439224243,5.314820051193237,12.462833023071289,2.8416604518890383,5.03984317779541,4.549983644485474,13.43018159866333,5.926272821426392,4.1894979000091555,11.482241916656495,3.5112324237823485,4.938720417022705,12.171197128295898,5.70611310005188,13.342412233352661,13.686498355865478,5.3491783618927,4.839895820617675,8.924414014816284,16.3760769367218,13.725957202911378,3.9283495903015138,8.105060338973999,17.786199188232423,7.868684148788452,10.0126522064209,7.735524320602417,6.729568958282471,13.014352703094483,6.217196607589722,9.283684778213502,9.712774801254273,13.369813346862793,6.334693813323975,10.792563486099244,17.01800980567932,10.460250091552734,17.32733359336853,10.173752784729004,10.036813688278198,10.829666328430175,6.253734922409057,6.074581289291382,8.308111810684204,9.386015939712525,13.952995252609252,16.541209554672243,15.35248327255249,13.283645629882812,13.362506532669068,15.861413669586181,19.782422065734863,16.008794403076173,14.584931421279908,17.213824367523195,15.640719747543335,12.813445043563842,9.086991691589356,12.66927628517151,16.843912982940672,20.482060813903807,20.524947738647462
